S.No,Station,Station Code,City,Division,Zone,no.
1,Andal Junction,UDL,Bardhaman,Asansol,Sealdah,16
2,Asansol Junction,ASN,Bardhaman,Asansol,Sealdah,16
3,Baidyanathdham Deoghar,BDME,Deoghar,Asansol,Sealdah,16
4,Bara Bani,BBI,Bardhaman,Asansol,Sealdah,16
5,Barachak Junction,BCQ,Bardhaman,Asansol,Sealdah,16
6,Barakar,BRR,Bardhaman,Asansol,Sealdah,16
7,Barapalasi,BRPS,Dumka,Asansol,Sealdah,16
8,Basukinath,BSKH,Dumka,Asansol,Sealdah,16
9,Bhalua,BHAU,Banka,Asansol,Sealdah,16
10,Bhimgara,BMGA,Birbhum,Asansol,Sealdah,16
11,Bodma,BM,Jamtara,Asansol,Sealdah,16
12,Chandan,CNDN,Banka,Asansol,Sealdah,16
13,Chandan,CHDN,Banka,Asansol,Sealdah,16
14,Chandanpahari,CNPI,Dumka,Asansol,Sealdah,16
15,Chhota Ambana,CAM,Dhanbad,Asansol,Sealdah,16
16,Chinchuria,CCR,Bardhaman,Asansol,Sealdah,16
17,Chinpai,CPLE,Birbhum,Asansol,Sealdah,16
18,Chittaranjan,CRJ,Jamtara,Asansol,Sealdah,16
19,Deoghar Junction,DGHR,Deoghar,Asansol,Sealdah,16
20,Dubrajpur,DUJ,Birbhum,Asansol,Sealdah,16
21,Dumka,DUMK,Dumka,Asansol,Sealdah,16
22,Durgapur,DGR,Bardhaman,Asansol,Sealdah,16
23,Galsi,GLI,Bardhaman,Asansol,Sealdah,16
24,Ghormara,GRMA,Deoghar,Asansol,Sealdah,16
25,Ghorparan,GHN,Jamui,Asansol,Sealdah,16
26,Giridih,GRD,Giridih,Asansol,Sealdah,16
27,Ikra Junction,IKRA,Bardhaman,Asansol,Sealdah,16
28,Jagadishpur,JGD,Giridih,Asansol,Sealdah,16
29,Jama,JAMA,Dumka,Asansol,Sealdah,16
30,Jamtara,JMT,Jamtara,Asansol,Sealdah,16
31,Jamuria,JMA,Bardhaman,Asansol,Sealdah,16
32,Jasidih Junction,JSME,Deoghar,Asansol,Sealdah,16
33,Joramow,JRW,Deoghar,Asansol,Sealdah,16
34,Kachujor,KOX,Birbhum,Asansol,Sealdah,16
35,Kajoragram,KJME,Bardhaman,Asansol,Sealdah,16
36,Kakbara,KKBA,Banka,Asansol,Sealdah,16
37,Kalipahari,KPK,Bardhaman,Asansol,Sealdah,16
38,Kalubathan,KAO,Dhanbad,Asansol,Sealdah,16
39,Karjhausa,KARJ,Banka,Asansol,Sealdah,16
40,Kaseetar,KEE,Jamtara,Asansol,Sealdah,16
41,Katoriya,KTOR,Banka,Asansol,Sealdah,16
42,Krishna Ballabh Sahay Halt,KBSH,Giridih,Asansol,Sealdah,16
43,Kulti,ULT,Bardhaman,Asansol,Sealdah,16
44,Kumardubi,KMME,Dhanbad,Asansol,Sealdah,16
45,Kumrabad Rohini,KBQ,Dumka,Asansol,Sealdah,16
46,Lahabon,LHB,Deoghar,Asansol,Sealdah,16
47,Madankata,MNC,Deoghar,Asansol,Sealdah,16
48,Madhupur Junction,MDP,Deoghar,Asansol,Sealdah,16
49,Maheshmunda,MMD,Giridih,Asansol,Sealdah,16
50,Mankar,MNAE,Bardhaman,Asansol,Sealdah,16
51,Mathurapur,MUW,Deoghar,Asansol,Sealdah,16
52,Mohanpur,MHUR,Deoghar,Asansol,Sealdah,16
53,Mugma,MMU,Dhanbad,Asansol,Sealdah,16
54,Narganjo Halt,NRGO,Jamui,Asansol,Sealdah,16
55,New Madanpur,MPUR,Ranchi,Asansol,Sealdah,16
56,New Nawadih,NNWH,Banka,Asansol,Sealdah,16
57,Nonihat,NNHT,Dumka,Asansol,Sealdah,16
58,Panagarh,PAN,Bardhaman,Asansol,Sealdah,16
59,Panchra,PCR,Birbhum,Asansol,Sealdah,16
60,Pandabeswar,PAW,Bardhaman,Asansol,Sealdah,16
61,Paraj,PAJ,Bardhaman,Asansol,Sealdah,16
62,Rajbandh,RBH,Bardhaman,Asansol,Sealdah,16
63,Raniganj,RNG,Bardhaman,Asansol,Sealdah,16
64,Rupnarayanpur,RNPR,Bardhaman,Asansol,Sealdah,16
65,Salanpur,SLS,Bardhaman,Asansol,Sealdah,16
66,Sankarpur,SNQ,Deoghar,Asansol,Sealdah,16
67,Satsang Nagar Halt,SSNR,Deoghar,Asansol,Sealdah,16
68,Siduli,SXD,Bardhaman,Asansol,Sealdah,16
69,Simultala,STL,Jamui,Asansol,Sealdah,16
70,Sitarampur Junction,STN,Bardhaman,Asansol,Sealdah,16
71,Siuri,SURI,Birbhum,Asansol,Sealdah,16
72,Sonachara,SSCR,Purba Medinipur,Asansol,Sealdah,16
73,Talwa Bazar,TLB,Jamui,Asansol,Sealdah,16
74,Tapasi,TOP,Bardhaman,Asansol,Sealdah,16
75,Thapar Nagar,TNW,Dhanbad,Asansol,Sealdah,16
76,Ukhra,UKA,Bardhaman,Asansol,Sealdah,16
77,Vidyasagar,VDS,Jamtara,Asansol,Sealdah,16
78,Waria,OYR,Bardhaman,Asansol,Sealdah,16
1,Abhaipur,AHA,Abhaipur,Malda,Sealdah,17
2,Abjuganj,AJUG,Bhagalpur,Malda,Sealdah,17
3,Ahiran,AHN,Murshidabad,Malda,Sealdah,17
4,Akbarnagar,AKN,Bhagalpur,Malda,Sealdah,17
5,Ammapali,AMPL,Bhagalpur,Malda,Sealdah,17
6,Bakudi,BKLE,Sahibganj,Malda,Sealdah,17
7,Ballalpur,BQZ,Murshidabad,Malda,Sealdah,17
8,Banka,BAKA,Banka,Malda,Sealdah,17
9,Barahat Junction,BHLE,Banka,Malda,Sealdah,17
10,Barharwa Junction,BHW,Sahibganj,Malda,Sealdah,17
11,Bariarpur,BUP,Munger,Malda,Sealdah,17
12,Basudebpur,BDBP,Purba Medinipur,Malda,Sealdah,17
13,Bela Halt,BELT,Banka,Malda,Sealdah,17
14,Bhagalpur Junction,BGP,Bhagalpur,Malda,Sealdah,17
15,Bikram Shila,BKSL,Bhagalpur,Malda,Sealdah,17
16,Bindubasini,BDBS,Sahibganj,Malda,Sealdah,17
17,Bonidanga,BDAG,Sahibganj,Malda,Sealdah,17
18,Chamagram,CMX,Maldah,Malda,Sealdah,17
19,Chhit Makhanpur,CTMP,Rohtas,Malda,Sealdah,17
20,Dasharathpur,DRTP,Munger,Malda,Sealdah,17
21,Dhamdhamia,DDX,Sahibganj,Malda,Sealdah,17
22,Dhanauri,DNRE,Bhagalpur,Malda,Sealdah,17
23,Dharhara,DRH,Munger,Malda,Sealdah,17
24,Dhauni,DWLE,Munger,Malda,Sealdah,17
25,Dhulian Ganga,DGLE,Hooghly,Malda,Sealdah,17
26,Ekchari,EKC,Bhagalpur,Malda,Sealdah,17
27,Gangani,GNNA,Munger,Malda,Sealdah,17
28,Gani Dham Halt,GIF,Bhagalpur,Malda,Sealdah,17
29,Gankar,GALE,Murshidabad,Malda,Sealdah,17
30,Ghoga,GGA,Bhagalpur,Malda,Sealdah,17
31,Ghogi Bariarpur,GIBP,Lakhisarai,Malda,Sealdah,17
32,Ghorghat,GOG,Munger,Malda,Sealdah,17
33,Gour Malda,GZM,Maldah,Malda,Sealdah,17
34,Hansdiha,HSDA,Dumka,Malda,Sealdah,17
35,Hatpuraini,HPLE,Bhagalpur,Malda,Sealdah,17
36,Hatpurani,HPLB,Saran,Malda,Sealdah,17
37,Jagdishpur,JDPT,Bhojpur,Malda,Sealdah,17
38,Jamalpur Junction,JMP,Munger,Malda,Sealdah,17
39,Jamirghata,JMQ,Maldah,Malda,Sealdah,17
40,Jangipur Road,JRLE,Murshidabad,Malda,Sealdah,17
41,Kahalgaon,CLG,Bhagalpur,Malda,Sealdah,17
42,Kaichar,KCY,Bardhaman,Malda,Sealdah,17
43,Kajra,KJH,Lakhisarai,Malda,Sealdah,17
44,Kalian Chak,KXE,Sahibganj,Malda,Sealdah,17
45,Kalyanpur Road,KPRD,Munger,Malda,Sealdah,17
46,Kamarganj,KMGH,Munger,Malda,Sealdah,17
47,Karamtola,KRMA,Sahibganj,Malda,Sealdah,17
48,Karanpur Ato,KPTO,Sahibganj,Malda,Sealdah,17
49,Khaltipur,KTJ,Maldah,Malda,Sealdah,17
50,Khariapipra Halt,KAPP,Bhagalpur,Malda,Sealdah,17
51,Kollikhutaha,KKTA,Bhagalpur,Malda,Sealdah,17
52,Kumradol,KADL,Godda,Malda,Sealdah,17
53,Kurmahat,KUMT,Dumka,Malda,Sealdah,17
54,Lailakh Mamalkha,LMM,Bhagalpur,Malda,Sealdah,17
55,Lakshmipur Bhorang,LKB,Bhagalpur,Malda,Sealdah,17
56,Maharajpur,MJP,Sahibganj,Malda,Sealdah,17
57,Maheshi,MVV,Bhagalpur,Malda,Sealdah,17
58,Mahipal,MPLE,Murshidabad,Malda,Sealdah,17
59,Mahipal Road,MPLR,Murshidabad,Malda,Sealdah,17
60,Malda Town,MLDT,Maldah,Malda,Sealdah,17
61,Mandar Hill,MDLE,Banka,Malda,Sealdah,17
62,Manigram,MGLE,Murshidabad,Malda,Sealdah,17
63,Masudan,MSDN,Lakhisarai,Malda,Sealdah,17
64,Mirza Cheuki,MZC,Sahibganj,Malda,Sealdah,17
65,Munger,MGR,Munger,Malda,Sealdah,17
66,Murahara,MRHA,Banka,Malda,Sealdah,17
67,Murarpur,MPY,Gaya,Malda,Sealdah,17
68,Murli Halt,MRLI,Sahibganj,Malda,Sealdah,17
69,Nathnagar,NAT,Bhagalpur,Malda,Sealdah,17
70,New Farakka Junction,NFK,Murshidabad,Malda,Sealdah,17
71,Nimtita,NILE,Murshidabad,Malda,Sealdah,17
72,Noapara Mahisha,NWMS,Murshidabad,Malda,Sealdah,17
73,Pandetola,PETA,Banka,Malda,Sealdah,17
74,Patam Halt,PATM,Munger,Malda,Sealdah,17
75,Pawai Brohmasthan Halt,PWBN,Lakhisarai,Malda,Sealdah,17
76,Pipradih,PPDI,Banka,Malda,Sealdah,17
77,Pirpainti,PPT,Bhagalpur,Malda,Sealdah,17
78,Poradanga Halt,PRDG,Murshidabad,Malda,Sealdah,17
79,Punsia,PNSA,Banka,Malda,Sealdah,17
80,Purab Sarai,PBS,Munger,Malda,Sealdah,17
81,Rajmahal,RJL,Sahibganj,Malda,Sealdah,17
82,Rampur Halt,RMPR,Dumka,Malda,Sealdah,17
83,Ratanpur,RPUR,Jamui,Malda,Sealdah,17
84,Rishikund,RIKD,Munger,Malda,Sealdah,17
85,Sabaur,SBO,Bhagalpur,Malda,Sealdah,17
86,Sahibganj,SBG,Sahibganj,Malda,Sealdah,17
87,Sakrigali,SLJ,Sahibganj,Malda,Sealdah,17
88,Sanjha,SJJ,Saran,Malda,Sealdah,17
89,Sankopara,SXP,Maldah,Malda,Sealdah,17
90,Sarobag,SRB,Munger,Malda,Sealdah,17
91,Shivanarayanpur,SVRP,Bhagalpur,Malda,Sealdah,17
92,Sugapahari,SAPT,Deoghar,Malda,Sealdah,17
93,Sugapahari,SGPA,Deoghar,Malda,Sealdah,17
94,Sujnipara,SPLE,Murshidabad,Malda,Sealdah,17
95,Sultanganj,SGG,Bhagalpur,Malda,Sealdah,17
96,Taljhari,TLJ,Sahibganj,Malda,Sealdah,17
97,Telia,TELY,Siwan,Malda,Sealdah,17
98,Tikani,TKLE,Bhojpur,Malda,Sealdah,17
99,Tildanga,TDLE,Murshidabad,Malda,Sealdah,17
100,Tinpahar Junction,TPH,Sahibganj,Malda,Sealdah,17
101,Uren,UREN,Madhubani,Malda,Sealdah,17
1,Adra Junction,ADRA,Purulia,Adra,Howrah,18
2,Anara,ANR,Purulia,Adra,Howrah,18
3,Anchuri,ANCR,Nadia,Adra,Howrah,18
4,Bagalia,BGA,Purulia,Adra,Howrah,18
5,Bankura Junction,BQA,Bankura,Adra,Howrah,18
6,Barabhum,BBM,Purulia,Adra,Howrah,18
7,Barbenda,BBDA,Bankura,Adra,Howrah,18
8,Belboni,BEX,Purba Medinipur,Adra,Howrah,18
9,Beliator,BZC,Bankura,Adra,Howrah,18
10,Bero,BERO,Purulia,Adra,Howrah,18
11,Berugram,BUGM,Bardhaman,Adra,Howrah,18
12,Betur,BTRB,Bankura,Adra,Howrah,18
13,Bhadutala,BUTA,Paschim Medinipur,Adra,Howrah,18
14,Bhaga Junction,VAA,Dhanbad,Adra,Howrah,18
15,Bheduasol,BXL,Bankura,Adra,Howrah,18
16,Bhojudih Junction,BJE,Bokaro,Adra,Howrah,18
17,Bhowra Junction,BCB,Dhanbad,Adra,Howrah,18
18,Bikna,BKNO,Bankura,Adra,Howrah,18
19,Biramdih,BRMD,Purulia,Adra,Howrah,18
20,Bishnupur,VSU,Bankura,Adra,Howrah,18
21,Bogri Road,BGO,Nadia,Adra,Howrah,18
22,Bokaro Steel City,BKSC,Bokaro,Adra,Howrah,18
23,Bokra,BOKA,Bardhaman,Adra,Howrah,18
24,Bowaichandi,BWCN,Bardhaman,Adra,Howrah,18
25,Brindabanpur,BDPR,Bankura,Adra,Howrah,18
26,Burnpur,BURN,Bardhaman,Adra,Howrah,18
27,Chander PH,CNRF,Bankura,Adra,Howrah,18
28,Chandrakona Road,CDGR,Paschim Medinipur,Adra,Howrah,18
29,Chas Road,CAS,Purulia,Adra,Howrah,18
30,Chharra,CHRA,Purulia,Adra,Howrah,18
31,Chhatna,CJN,Bankura,Adra,Howrah,18
32,Damodar Junction,DMA,Bardhaman,Adra,Howrah,18
33,Damru Ghutu,DRGU,Purulia,Adra,Howrah,18
34,Dhagaria,DGF,Bankura,Adra,Howrah,18
35,Dhansimla,DIM,Bankura,Adra,Howrah,18
36,Dugda,DDGA,Bokaro,Adra,Howrah,18
37,Garh Dhrubeswar,GRB,Purulia,Adra,Howrah,18
38,Garh Jaipur,GUG,Purulia,Adra,Howrah,18
39,Garhbeta,GBA,Paschim Medinipur,Adra,Howrah,18
40,Godapiasal,GSL,Paschim Medinipur,Adra,Howrah,18
41,Gopinathpur,GOR,Bardhaman,Adra,Howrah,18
42,Gourinathdham,GTD,Purulia,Adra,Howrah,18
43,Gram Masagram,GMMG,Bardhaman,Adra,Howrah,18
44,Gramdadpur,GMDP,Bardhaman,Adra,Howrah,18
45,Guir Saranga,GSQ,Bardhaman,Adra,Howrah,18
46,Habaspur,HPUR,Bardhaman,Adra,Howrah,18
47,Hamirhati,HAM,Bankura,Adra,Howrah,18
48,Indas,INS,Bankura,Adra,Howrah,18
49,Indrabil,IBL,Purulia,Adra,Howrah,18
50,Jamadoba Halt,JBO,Dhanbad,Adra,Howrah,18
51,Jamuniatand,JNN,Bokaro,Adra,Howrah,18
52,Jhantipahari,JPH,Bankura,Adra,Howrah,18
53,Joychandi Pahar,JOC,Purulia,Adra,Howrah,18
54,Kaiyar,KYB,Bardhaman,Adra,Howrah,18
55,Kalisen,KISN,Bankura,Adra,Howrah,18
56,Kantadih,KTD,Purulia,Adra,Howrah,18
57,Karkend,KRKN,Dhanbad,Adra,Howrah,18
58,Khanudih,KNF,Bokaro,Adra,Howrah,18
59,Khario P.H.,KARO,Bokaro,Adra,Howrah,18
60,Kharkhari,KHRI,Bokaro,Adra,Howrah,18
61,Kotshila Junction,KSX,Purulia,Adra,Howrah,18
62,Kumrul,KMRL,Hooghly,Adra,Howrah,18
63,Kustaur,KSU,Purulia,Adra,Howrah,18
64,Layabad,LYD,Dhanbad,Adra,Howrah,18
65,Madhukunda,MDKD,Purulia,Adra,Howrah,18
66,Mahuda Junction,MHQ,Dhanbad,Adra,Howrah,18
67,Malkera Junction,MLQ,Dhanbad,Adra,Howrah,18
68,Mathnashipur,MTIP,Bardhaman,Adra,Howrah,18
69,Metyal Sahar PH,MYX,Purulia,Adra,Howrah,18
70,Muradi,MDF,Purulia,Adra,Howrah,18
71,Nimdih,NIM,Seraikela Kharsawan,Adra,Howrah,18
72,Nobanda,NOB,Bankura,Adra,Howrah,18
73,Ondagram,ODM,Bankura,Adra,Howrah,18
74,Patrasayer,PSF,Bankura,Adra,Howrah,18
75,Piardoba,PBA,Bankura,Adra,Howrah,18
76,Pundhag,PNW,Purulia,Adra,Howrah,18
77,Purulia Junction,PRR,Purulia,Adra,Howrah,18
78,Radhagaon,RDF,Bokaro,Adra,Howrah,18
79,Rainagar,RNGR,Bardhaman,Adra,Howrah,18
80,Ramkanali Junction,RKI,Purulia,Adra,Howrah,18
81,Ramsagar,RSG,Bankura,Adra,Howrah,18
82,Rukni,RUI,Purulia,Adra,Howrah,18
83,Sahaspur Road,SHJ,Bankura,Adra,Howrah,18
84,Salboni,SLB,Paschim Medinipur,Adra,Howrah,18
85,Sanka,SNKR,Purulia,Adra,Howrah,18
86,Santaldih,SNTD,Purulia,Adra,Howrah,18
87,Sehara Bazar,SRBZ,Bardhaman,Adra,Howrah,18
88,Shankrul,SHKL,Bankura,Adra,Howrah,18
89,Shewbabudih,SBW,Dhanbad,Adra,Howrah,18
90,Shyamsunder,SHMR,Bardhaman,Adra,Howrah,18
91,Sirjam,SRJM,Purulia,Adra,Howrah,18
92,Sonamukhi,SONA,Bankura,Adra,Howrah,18
93,Srirampur P.H.,SIMR,Bankura,Adra,Howrah,18
94,Sudamdih,SDMD,Dhanbad,Adra,Howrah,18
95,Talgaria,TLE,Bokaro,Adra,Howrah,18
96,Tamna,TAO,Purulia,Adra,Howrah,18
97,Tata Sijua Halt,TSAH,Dhanbad,Adra,Howrah,18
98,Tupkadih,TKB,Bokaro,Adra,Howrah,18
99,Urma,URMA,Purulia,Adra,Howrah,18
1,Adityapur,ADTP,Jamshedpur,Chakradharpur,Howrah,19
2,Aunlajori Junction,OND,Mayurbhanj,Chakradharpur,Howrah,19
3,Badampahar,BMPR,Mayurbhanj,Chakradharpur,Howrah,19
4,Bagdihi,BEH,Kalahandi,Chakradharpur,Howrah,19
5,Bahalda Road,BDO,Mayurbhanj,Chakradharpur,Howrah,19
6,Bamra,BMB,Sambalpur,Chakradharpur,Howrah,19
7,Bangurkela,BGKA,Sundargarh,Chakradharpur,Howrah,19
8,Banspani,BSPX,Kendujhar,Chakradharpur,Howrah,19
9,Bara Jamda,BJMD,West Singhbhum,Chakradharpur,Howrah,19
10,Barabambo,BRM,West Singhbhum,Chakradharpur,Howrah,19
11,Barabil,BBN,Kendujhar,Chakradharpur,Howrah,19
12,Barsuan,BXF,Sundargarh,Chakradharpur,Howrah,19
13,Bhalulata,BUL,Sundargarh,Chakradharpur,Howrah,19
14,Bimlagarh Junction,BUF,Sundargarh,Chakradharpur,Howrah,19
15,Biramitrapur,BRMP,Sundargarh,Chakradharpur,Howrah,19
16,Birarajpur,BIRP,Jamshedpur,Chakradharpur,Howrah,19
17,Birbans,BRBS,Seraikela Kharsawan,Chakradharpur,Howrah,19
18,Bisra,BZR,Sundargarh,Chakradharpur,Howrah,19
19,Bondamunda,BNDM,Sundargarh,Chakradharpur,Howrah,19
20,Bondamunda A Cabin,ACAB,Sundargarh,Chakradharpur,Howrah,19
21,Bondamunda K Cabin,KCAB,Sundargarh,Chakradharpur,Howrah,19
22,Bondamunda Link Cabin,LNKC,Sundargarh,Chakradharpur,Howrah,19
23,Chaibasa,CBSA,West Singhbhum,Chakradharpur,Howrah,19
24,Chakradharpur,CKP,West Singhbhum,Chakradharpur,Howrah,19
25,Champajharam,CJQ,Sundargarh,Chakradharpur,Howrah,19
26,Chandil Junction,CNI,Seraikela Kharsawan,Chakradharpur,Howrah,19
27,Chandiposi,CPE,Balasore,Chakradharpur,Howrah,19
28,Chhanva,CHHU,Mayurbhanj,Chakradharpur,Howrah,19
29,Dangoaposi,DPS,West Singhbhum,Chakradharpur,Howrah,19
30,Deojhar,DJHR,Kendujhar,Chakradharpur,Howrah,19
31,Derowan P. H.,DRWN,West Singhbhum,Chakradharpur,Howrah,19
32,Dharuadihi,DIH,Sundargarh,Chakradharpur,Howrah,19
33,Dhutra,DTV,Jharsuguda,Chakradharpur,Howrah,19
34,Dumerta,DMF,Sundargarh,Chakradharpur,Howrah,19
35,Gamharia,GMH,Jamshedpur,Chakradharpur,Howrah,19
36,Garpos,GPH,Sundargarh,Chakradharpur,Howrah,19
37,Goilkera,GOL,West Singhbhum,Chakradharpur,Howrah,19
38,Gorumahisani,GUMI,Mayurbhanj,Chakradharpur,Howrah,19
39,Gua,GUA,West Singhbhum,Chakradharpur,Howrah,19
40,Haludpukur,HLD,East Singhbhum,Chakradharpur,Howrah,19
41,Jaraikela,JRA,West Singhbhum,Chakradharpur,Howrah,19
42,Jaroli,JRLI,Kendujhar,Chakradharpur,Howrah,19
43,Jharsuguda Junction,JSG,Jharsuguda,Chakradharpur,Howrah,19
44,Jhinkpani,JNK,Dhanbad,Chakradharpur,Howrah,19
45,Kalunga,KLG,Sundargarh,Chakradharpur,Howrah,19
46,Kandra,KND,Jamshedpur,Chakradharpur,Howrah,19
47,Kanshbahal,KXN,Sundargarh,Chakradharpur,Howrah,19
48,Kendposi,KNPS,West Singhbhum,Chakradharpur,Howrah,19
49,Kuarmunda,KRMD,Sundargarh,Chakradharpur,Howrah,19
50,Kuldiha,KIJ,Balasore,Chakradharpur,Howrah,19
51,Kunki,KZU,Jamshedpur,Chakradharpur,Howrah,19
52,Lathikata,LTK,Sundargarh,Chakradharpur,Howrah,19
53,Lotapahar,LPH,West Singhbhum,Chakradharpur,Howrah,19
54,Mahadevsal,MXW,West Singhbhum,Chakradharpur,Howrah,19
55,Mahali Marup,MMV,Seraikela Kharsawan,Chakradharpur,Howrah,19
56,Maluka,MLKA,West Singhbhum,Chakradharpur,Howrah,19
57,Manikul,MIK,Seraikela Kharsawan,Chakradharpur,Howrah,19
58,Manoharpur,MOU,West Singhbhum,Chakradharpur,Howrah,19
59,Murga Mahadev Road,MMVR,Kendujhar,Chakradharpur,Howrah,19
60,Noamundi,NOMD,West Singhbhum,Chakradharpur,Howrah,19
61,Nuagaon,NXN,Kendujhar,Chakradharpur,Howrah,19
62,Padapahar Junction,PDPH,West Singhbhum,Chakradharpur,Howrah,19
63,Pandrasali,PRSL,West Singhbhum,Chakradharpur,Howrah,19
64,Panpali,PNPL,Jharsuguda,Chakradharpur,Howrah,19
65,Panposh,PPO,Sundargarh,Chakradharpur,Howrah,19
66,Patasahi,PSJ,Sundargarh,Chakradharpur,Howrah,19
67,Posoita,PST,West Singhbhum,Chakradharpur,Howrah,19
68,Quarry Siding,QRS,Sundargarh,Chakradharpur,Howrah,19
69,Rairangpur,RRP,Mayurbhanj,Chakradharpur,Howrah,19
70,Rajgangpur,GP,Sundargarh,Chakradharpur,Howrah,19
71,Rajkharsawan Junction,RKSN,Seraikela Kharsawan,Chakradharpur,Howrah,19
72,Rourkela Junction,ROU,Sundargarh,Chakradharpur,Howrah,19
73,Singhpokharia,SIPA,West Singhbhum,Chakradharpur,Howrah,19
74,Sini Junction,SINI,Seraikela Kharsawan,Chakradharpur,Howrah,19
75,Sogra,SOGR,Balasore,Chakradharpur,Howrah,19
76,Sonakhan,SXN,Sundargarh,Chakradharpur,Howrah,19
77,Sonua,SWR,West Singhbhum,Chakradharpur,Howrah,19
78,Talaburu,TABU,West Singhbhum,Chakradharpur,Howrah,19
79,Tangarmunda,TGM,Sundargarh,Chakradharpur,Howrah,19
80,Tatanagar Junction,TATA,Jamshedpur,Chakradharpur,Howrah,19
81,Tunia,TUX,West Singhbhum,Chakradharpur,Howrah,19
1,Abada,ABB,Kolkata,Kharagpur,Howrah,20
2,Amarda Road,ARD,Mayurbhanj,Kharagpur,Howrah,20
3,Amta,AMZ,Howrah,Kharagpur,Howrah,20
4,Andul,ADL,Howrah,Kharagpur,Howrah,20
5,Angua,AGV,Paschim Medinipur,Kharagpur,Howrah,20
6,Asanboni,ASB,East Singhbhum,Kharagpur,Howrah,20
7,Ashapurna Devi,APRD,Purba Medinipur,Kharagpur,Howrah,20
8,Badalpur PH,BDPA,Purba Medinipur,Kharagpur,Howrah,20
9,Bagnan,BZN,Howrah,Kharagpur,Howrah,20
10,Bahanaga Bazar,BNBR,Balasore,Kharagpur,Howrah,20
11,Bakhrabad,VKD,Paschim Medinipur,Kharagpur,Howrah,20
12,Balasore,BLS,Balasore,Kharagpur,Howrah,20
13,Balichak,BCK,Paschim Medinipur,Kharagpur,Howrah,20
14,Baltikuri Junction,BALT,Howrah,Kharagpur,Howrah,20
15,Bandar P.H.,BAAR,Purba Medinipur,Kharagpur,Howrah,20
16,Bangriposi,BGY,Mayurbhanj,Kharagpur,Howrah,20
17,Bankranayabaz,BKNM,Howrah,Kharagpur,Howrah,20
18,Banstola,BNB,Paschim Medinipur,Kharagpur,Howrah,20
19,Barda,BRDB,Purba Medinipur,Kharagpur,Howrah,20
20,Bargachia,BAC,Howrah,Kharagpur,Howrah,20
21,Baripada,BPO,Mayurbhanj,Kharagpur,Howrah,20
22,Basta,BTS,Balasore,Kharagpur,Howrah,20
23,Basulyasutahata,BYSA,Purba Medinipur,Kharagpur,Howrah,20
24,Bauria Junction,BVA,Kolkata,Kharagpur,Howrah,20
25,Belda,BLDA,Paschim Medinipur,Kharagpur,Howrah,20
26,Benapur,BPE,Howrah,Kharagpur,Howrah,20
27,Betnoti,BTQ,Mayurbhanj,Kharagpur,Howrah,20
28,Bhanjpur,VZR,Mayurbhanj,Kharagpur,Howrah,20
29,Bhogpur,BOP,Purba Medinipur,Kharagpur,Howrah,20
30,Bir Shibpur,BSBP,Howrah,Kharagpur,Howrah,20
31,Buramara,BWO,Mayurbhanj,Kharagpur,Howrah,20
32,Chakulia,CKU,East Singhbhum,Kharagpur,Howrah,20
33,Chengel,CGA,Howrah,Kharagpur,Howrah,20
34,Contai Road,CNT,Paschim Medinipur,Kharagpur,Howrah,20
35,Dakshin Bari,DKB,Howrah,Kharagpur,Howrah,20
36,Dansi,DNI,Howrah,Kharagpur,Howrah,20
37,Dantan,DNT,Paschim Medinipur,Kharagpur,Howrah,20
38,Dashnagar,DSNR,Howrah,Kharagpur,Howrah,20
39,Deshapran P.H.,DSPN,Purba Medinipur,Kharagpur,Howrah,20
40,Deulti,DTE,Howrah,Kharagpur,Howrah,20
41,Dhalbhumgarh,DVM,East Singhbhum,Kharagpur,Howrah,20
42,Digha,DGHA,Purba Medinipur,Kharagpur,Howrah,20
43,Domjur,DJR,Howrah,Kharagpur,Howrah,20
44,Domjur Road,DMJR,Howrah,Kharagpur,Howrah,20
45,Duan,DUAN,Paschim Medinipur,Kharagpur,Howrah,20
46,Durga Chak Town,DZKT,Purba Medinipur,Kharagpur,Howrah,20
47,Durgachak,DZK,Purba Medinipur,Kharagpur,Howrah,20
48,Galudih,GUD,East Singhbhum,Kharagpur,Howrah,20
49,Ghatsila,GTS,East Singhbhum,Kharagpur,Howrah,20
50,Ghoraghata,GGTA,Howrah,Kharagpur,Howrah,20
51,Gidni,GII,Paschim Medinipur,Kharagpur,Howrah,20
52,Girimaidan,GMDN,Kharagpur,Kharagpur,Howrah,20
53,Gokulpur,GKL,Paschim Medinipur,Kharagpur,Howrah,20
54,Govindpur PH,GVDP,Jamshedpur,Kharagpur,Howrah,20
55,Haldia,HLZ,Purba Medinipur,Kharagpur,Howrah,20
56,Haldipada,HIP,Balasore,Kharagpur,Howrah,20
57,Harishdadpur P.H.,HDC,Howrah,Kharagpur,Howrah,20
58,Haur,HAUR,Paschim Medinipur,Kharagpur,Howrah,20
59,Henria P.H.,HEN,Purba Medinipur,Kharagpur,Howrah,20
60,Hijli,HIJ,Paschim Medinipur,Kharagpur,Howrah,20
61,Jakpur,JPR,Paschim Medinipur,Kharagpur,Howrah,20
62,Jalalsi P.H.,JLI,Howrah,Kharagpur,Howrah,20
63,Jaleswar,JER,Balasore,Kharagpur,Howrah,20
64,Jamsole,JSE,Mayurbhanj,Kharagpur,Howrah,20
65,Jhaluarbar,JLBR,Howrah,Kharagpur,Howrah,20
